"Question_1","Question_2","Category","Cramers_V","P_Value","FDR_Adj_P"
"Q1","Q2","psych-soma",0.167523031126424,0.000499750124937531,0.000803169843649604
"Q1","Q3","psych-psych",0.228325891398813,0.000499750124937531,0.000803169843649604
"Q1","Q4","psych-soma",0.224316217496153,0.000499750124937531,0.000803169843649604
"Q1","Q5","psych-soma",0.164875266457774,0.000499750124937531,0.000803169843649604
"Q1","Q6","psych-psych",0.193744963337311,0.000499750124937531,0.000803169843649604
"Q1","Q7","psych-psych",0.190913739791803,0.000499750124937531,0.000803169843649604
"Q1","Q8","psych-soma",0.069913986724192,0.116441779110445,0.13099700149925
"Q1","Q9","psych-psych",0.207763932268547,0.000499750124937531,0.000803169843649604
"Q1","Q10","psych-soma",0.147286489414748,0.000499750124937531,0.000803169843649604
"Q2","Q3","psych-soma",0.160412707165351,0.000499750124937531,0.000803169843649604
"Q2","Q4","soma-soma",0.173616034348253,0.000499750124937531,0.000803169843649604
"Q2","Q5","soma-soma",0.177759003006439,0.000499750124937531,0.000803169843649604
"Q2","Q6","psych-soma",0.0700632604696077,0.107446276861569,0.123976473301811
"Q2","Q7","psych-soma",0.0617864391420716,0.278360819590205,0.29824373527522
"Q2","Q8","soma-soma",0.0881649239345914,0.00499750124937531,0.00661433988887909
"Q2","Q9","psych-soma",0.147486195979809,0.000499750124937531,0.000803169843649604
"Q2","Q10","soma-soma",0.151762174640309,0.000499750124937531,0.000803169843649604
"Q3","Q4","psych-soma",0.128913907411877,0.000499750124937531,0.000803169843649604
"Q3","Q5","psych-soma",0.0926099410691191,0.00399800099950025,0.00545181954477307
"Q3","Q6","psych-psych",0.138985666456502,0.000499750124937531,0.000803169843649604
"Q3","Q7","psych-psych",0.183130527667665,0.000499750124937531,0.000803169843649604
"Q3","Q8","psych-soma",0.0976491003610898,0.00149925037481259,0.00224887556221889
"Q3","Q9","psych-psych",0.120313410461181,0.000499750124937531,0.000803169843649604
"Q3","Q10","psych-soma",0.0964373467413132,0.00249875062468766,0.00351386806596702
"Q4","Q5","soma-soma",0.151952206957394,0.000499750124937531,0.000803169843649604
"Q4","Q6","psych-soma",0.0973740298466701,0.000499750124937531,0.000803169843649604
"Q4","Q7","psych-soma",0.10495303897584,0.000499750124937531,0.000803169843649604
"Q4","Q8","soma-soma",0.0669709698332405,0.142928535732134,0.156872783120635
"Q4","Q9","psych-soma",0.180541876750758,0.000499750124937531,0.000803169843649604
"Q4","Q10","soma-soma",0.166809148505032,0.000499750124937531,0.000803169843649604
"Q5","Q6","psych-soma",0.102659141884924,0.000499750124937531,0.000803169843649604
"Q5","Q7","psych-soma",0.0934582945803233,0.00249875062468766,0.00351386806596702
"Q5","Q8","soma-soma",0.0838931478571093,0.0129935032483758,0.0167059327479118
"Q5","Q9","psych-soma",0.108636866251064,0.000499750124937531,0.000803169843649604
"Q5","Q10","soma-soma",0.192086701408182,0.000499750124937531,0.000803169843649604
"Q6","Q7","psych-psych",0.182677735755519,0.000499750124937531,0.000803169843649604
"Q6","Q8","psych-soma",0.0756439745358844,0.0519740129935032,0.0615481732817802
"Q6","Q9","psych-psych",0.100031950832832,0.00149925037481259,0.00224887556221889
"Q6","Q10","psych-soma",0.0555166386513613,0.427286356821589,0.436997410385716
"Q7","Q8","psych-soma",0.0786490061872906,0.0339830084957521,0.0424787606196902
"Q7","Q9","psych-psych",0.133741386693823,0.000499750124937531,0.000803169843649604
"Q7","Q10","psych-soma",0.0289900666572092,0.983508245877061,0.983508245877061
"Q8","Q9","psych-soma",0.0765684695562907,0.0454772613693153,0.0553101827464646
"Q8","Q10","soma-soma",0.0587554649644687,0.342828585707146,0.358774101321432
"Q9","Q10","psych-soma",0.101042792930959,0.000499750124937531,0.000803169843649604
